# ell, 100x100, 100x143, 100x217, 143x143, 143x217, 217x217
  48 1465.015551 701.544381 485.337485 946.093263 478.683753 537.552268
  49 1449.219379 696.220216 481.400105 935.607437 474.852486 532.259741
  50 1433.919138 691.048395 477.577117 925.453669 471.132176 527.128945
  51 1419.089477 686.021505 473.862911 915.614903 467.517388 522.151735
  52 1404.706820 681.132633 470.252259 906.075280 464.003062 517.320529
  53 1390.749209 676.375329 466.740284 896.820035 460.584472 512.628264
  54 1377.196165 671.743561 463.322426 887.835398 457.257203 508.068344
  55 1364.028562 667.231685 459.994421 879.108514 454.017122 503.634607
  56 1351.228513 662.834409 456.752272 870.627364 450.860359 499.321285
  57 1338.779273 658.546769 453.592229 862.380697 447.783280 495.122975
  58 1326.665142 654.364101 450.510773 854.357966 444.782476 491.034607
  59 1314.871386 650.282019 447.504593 846.549277 441.854738 487.051422
  60 1303.384160 646.296392 444.570573 838.945335 438.997047 483.168942
  61 1292.190443 642.403327 441.705776 831.537398 436.206558 479.382956
  62 1281.277973 638.599151 438.907435 824.317237 433.480587 475.689493
  63 1270.635193 634.880394 436.172933 817.277097 430.816600 472.084810
  64 1260.251197 631.243778 433.499799 810.409663 428.212201 468.565373
  65 1250.115690 627.686199 430.885697 803.708028 425.665125 465.127841
  66 1240.218938 624.204718 428.328413 797.165665 423.173226 461.769057
  67 1230.551731 620.796549 425.825849 790.776400 420.734472 458.486030
  68 1221.105351 617.459050 423.376018 784.534388 418.346933 455.275927
  69 1211.871533 614.189711 420.977030 778.434090 416.008779 452.136062
  70 1202.842441 610.986148 418.627092 772.470254 413.718272 449.063885
  71 1194.010634 607.846094 416.324500 766.637898 411.473758 446.056976
  72 1185.369048 604.767391 414.067631 760.932286 409.273664 443.113032
  73 1176.910963 601.747985 411.854941 755.348921 407.116493 440.229866
  74 1168.629989 598.785918 409.684959 749.883523 405.000817 437.405393
  75 1160.520043 595.879321 407.556282 744.532019 402.925277 434.637631
  76 1152.575328 593.026415 405.467572 739.290530 400.888574 431.924686
  77 1144.790322 590.225496 403.417551 734.155358 398.889470 429.264756
  78 1137.159753 587.474939 401.405000 729.122978 396.926780 426.656120
  79 1129.678593 584.773191 399.428752 724.190025 394.999373 424.097132
  80 1122.342038 582.118764 397.487691 719.353286 393.106167 421.586223
  81 1115.145498 579.510235 395.580751 714.609690 391.246126 419.121890
  82 1108.084584 576.946242 393.706908 709.956303 389.418259 416.702697
  83 1101.155096 574.425477 391.865185 705.390317 387.621616 414.327268
