# ell, 100x100, 100x143, 100x217, 143x143, 143x217, 217x217
 344 11509.970071 6665.204582 4583.921580 6634.269234 4616.609920 4560.307897
 345 11489.307928 6658.656604 4580.080474 6626.051360 4612.564539 4555.754187
 346 11468.742798 6652.134144 4576.253801 6617.867566 4608.534508 4551.218295
 347 11448.273944 6645.637028 4572.441464 6609.717614 4604.519724 4546.700099
 348 11427.900640 6639.165085 4568.643370 6601.601265 4600.520084 4542.199479
 349 11407.622164 6632.718145 4564.859422 6593.518285 4596.535489 4537.716316
 350 11387.437806 6626.296040 4561.089529 6585.468440 4592.565839 4533.250492
 351 11367.346859 6619.898602 4557.333596 6577.451500 4588.611034 4528.801891
 352 11347.348626 6613.525667 4553.591534 6569.467236 4584.670976 4524.370397
 353 11327.442417 6607.177070 4549.863250 6561.515423 4580.745570 4519.955895
 354 11307.627547 6600.852650 4546.148656 6553.595837 4576.834717 4515.558272
 355 11287.903340 6594.552246 4542.447661 6545.708256 4572.938324 4511.177415
 356 11268.269127 6588.275700 4538.760179 6537.852461 4569.056296 4506.813214
 357 11248.724245 6582.022853 4535.086120 6530.028233 4565.188539 4502.465559
