# ell, 100x100, 100x143, 100x217, 143x143, 143x217, 217x217
  53 543.767400 285.935868 165.657044 314.236136 164.192681 183.335382
  54 538.529507 283.782105 164.612766 311.366432 163.169856 181.860111
  55 533.440042 281.685352 163.595046 308.576751 162.172981 180.424552
  56 528.492130 279.643064 162.602722 305.863418 161.200923 179.026918
  57 523.679335 277.652855 161.634703 303.222994 160.252616 177.665531
  58 518.995623 275.712482 160.689965 300.652251 159.327060 176.338818
  59 514.435330 273.819840 159.767543 298.148159 158.423314 175.045300
  60 509.993133 271.972946 158.866529 295.707870 157.540492 173.783585
  61 505.664026 270.169931 157.986067 293.328703 156.677757 172.552363
  62 501.443293 268.409034 157.125347 291.008133 155.834320 171.350399
  63 497.326491 266.688591 156.283608 288.743779 155.009436 170.176526
  64 493.309426 265.007030 155.460126 286.533393 154.202399 169.029643
  65 489.388137 263.362866 154.654218 284.374852 153.412543 167.908709
  66 485.558881 261.754691 153.865237 282.266148 152.639235 166.812738
  67 481.818115 260.181171 153.092569 280.205379 151.881876 165.740797
  68 478.162485 258.641043 152.335630 278.190747 151.139896 164.692002
  69 474.588812 257.133106 151.593868 276.220542 150.412756 163.665512
  70 471.094080 255.656221 150.866756 274.293147 149.699942 162.660530
  71 467.675427 254.209303 150.153795 272.407023 149.000964 161.676300
  72 464.330132 252.791324 149.454508 270.560708 148.315359 160.712100
  73 461.055612 251.401301 148.768442 268.752813 147.642682 159.767246
  74 457.849406 250.038300 148.095163 266.982014 146.982512 158.841084
  75 454.709173 248.701430 147.434260 265.247053 146.334446 157.932993
  76 451.632681 247.389841 146.785338 263.546728 145.698099 157.042379
  77 448.617805 246.102723 146.148022 261.879895 145.073103 156.168676
  78 445.662516 244.839300 145.521953 260.245461 144.459108 155.311343
  79 442.764876 243.598832 144.906786 258.642383 143.855778 154.469865
  80 439.923038 242.380611 144.302192 257.069665 143.262791 153.643748
  81 437.135232 241.183960 143.707857 255.526355 142.679839 152.832518
  82 434.399769 240.008230 143.123478 254.011540 142.106629 152.035725
  83 431.715032 238.852800 142.548768 252.524350 141.542877 151.252935
  84 429.079472 237.717074 141.983448 251.063948 140.988312 150.483734
  85 426.491608 236.600481 141.427252 249.629535 140.442675 149.727724
